Time,Meg,Cell_ID_1,Cell_RSSI_1,Cell_ID_2,Cell_RSSI_2,Cell_ID_3,Cell_RSSI_3,Cell_ID_4,Cell_RSSI_4,Cell_ID_5,Cell_RSSI_5
2023-07-03 17:24:47.463,33.0408,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.483,32.9693,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.509,31.9614,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.524,32.6315,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.543,32.1773,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.563,31.4101,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.582,33.3974,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.603,32.3625,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.624,32.8088,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.643,31.7097,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.665,31.5149,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.688,32.3552,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.706,31.1893,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.723,32.1051,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.742,30.6488,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.762,31.2325,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.784,30.4408,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.808,33.0683,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.825,34.0087,473.0,-77.0,0.0,,474.0,-97.0,477.0,,489.0,
2023-07-03 17:24:47.851,32.7194,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.864,33.4877,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.883,34.7272,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.906,37.2528,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.924,33.2902,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.941,29.511,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.963,28.6166,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:47.983,30.4825,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:48.005,30.0125,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:48.024,29.337,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:48.043,30.5426,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
2023-07-03 17:24:48.062,30.3761,473.0,-79.0,0.0,,474.0,-98.0,477.0,,489.0,
